data,y,y_pred
2026-03-15,29,12.396112
2026-03-22,26,12.285438
2026-03-29,12,13.456386
2026-04-05,31,13.99824
2026-04-12,26,15.139912
2026-04-19,39,21.850424
2026-04-26,46,21.150152
2026-05-03,68,18.087019
2026-05-10,97,18.103767
2026-05-17,99,16.502195
2026-05-24,63,16.54581
2026-05-31,80,64.51854
2026-06-07,94,54.579865
2026-06-14,60,43.014645
2026-06-21,42,35.716125
2026-06-28,52,26.073523
2026-07-05,49,19.426992
2026-07-12,58,27.736752
2026-07-19,42,22.299429
2026-07-26,40,22.578554
2026-08-02,26,20.838682
2026-08-09,10,18.424204
2026-08-16,1,17.132282
