data,y,y_pred
2023-01-29,0,-0.0050888713
2023-02-05,1,0.00048209238
2023-02-12,0,-0.0016186272
2023-02-19,2,0.00067343935
2023-02-26,3,-0.001937118
2023-03-05,3,-0.002119626
2023-03-12,2,1.199015
2023-03-19,5,1.3610067
2023-03-26,8,0.9598554
2023-04-02,13,0.8401222
2023-04-09,23,0.7524811
2023-04-16,30,0.61988306
2023-04-23,21,19.97315
2023-04-30,33,18.7407
2023-05-07,37,13.419965
2023-05-14,72,11.703525
2023-05-21,46,9.621526
2023-05-28,97,7.9685493
2023-06-04,57,42.990128
2023-06-11,41,31.739037
2023-06-18,39,21.516764
2023-06-25,55,16.244118
2023-07-02,51,10.428434
2023-07-09,44,7.9096937
2023-07-16,31,17.775234
2023-07-23,15,13.486764
2023-07-30,12,11.587048
2023-08-06,8,8.260832
2023-08-13,12,6.981166
2023-08-20,9,6.4167624
2023-08-27,9,8.251528
2023-09-03,6,7.4779754
2023-09-10,14,3.4985156
2023-09-17,11,4.077177
2023-09-24,3,2.1952348
2023-10-01,5,4.043392
2023-10-08,6,7.068054
2023-10-15,3,2.1781402
2023-10-22,4,0.6321214
2023-10-29,5,2.5931342
2023-11-05,2,0.49184743
2023-11-12,5,0.26707545
2023-11-19,2,0.67931724
2023-11-26,2,0.04844324
2023-12-03,4,0.00053303875
2023-12-10,5,0.16904317
2023-12-17,1,0.07842053
2023-12-24,0,-0.018478546
2023-12-31,2,0.08363438
2024-01-07,4,-0.023351531
2024-01-14,4,0.016526999
2024-01-21,9,0.06329593
2024-01-28,10,0.012470815
2024-02-04,12,0.023870418
2024-02-11,22,11.685378
2024-02-18,63,13.877924
2024-02-25,78,8.981181
2024-03-03,132,8.600452
2024-03-10,170,8.135522
2024-03-17,224,6.479449
2024-03-24,215,206.56001
2024-03-31,112,167.51323
2024-04-07,29,107.513916
2024-04-14,33,81.188156
2024-04-21,56,61.39669
2024-04-28,59,36.319477
2024-05-05,45,17.101498
2024-05-12,28,22.919287
2024-05-19,15,12.487269
2024-05-26,21,9.258961
2024-06-02,21,10.52602
2024-06-09,24,12.094848
2024-06-16,12,17.847172
2024-06-23,12,32.757767
2024-06-30,19,4.2975726
2024-07-07,17,3.3541317
2024-07-14,9,13.861376
2024-07-21,4,9.542977
2024-07-28,7,9.448815
2024-08-04,7,3.6575677
2024-08-11,8,1.2296544
2024-08-18,15,1.750238
2024-08-25,8,-0.33734882
2024-09-01,6,0.25705642
2024-09-08,8,1.559404
2024-09-15,9,-0.16618519
2024-09-22,5,0.31423476
2024-09-29,2,0.61315966
2024-10-06,7,-0.17806499
2024-10-13,6,0.16704564
2024-10-20,4,1.601296
2024-10-27,8,3.2424278
2024-11-03,2,1.3330873
2024-11-10,6,0.8179771
2024-11-17,8,0.9381469
2024-11-24,2,0.7122317
2024-12-01,4,4.2085447
2024-12-08,1,4.6558886
2024-12-15,1,3.4131165
2024-12-22,1,2.8239944
2024-12-29,1,2.8271167
2025-01-05,3,1.6143128
2025-01-12,0,4.267061
2025-01-19,0,6.147434
2025-01-26,0,3.3361766
2025-02-02,0,3.0300705
2025-02-09,1,2.3991482
2025-02-16,1,2.220489
2025-02-23,0,1.2155019
2025-03-02,2,0.22219698
2025-03-09,2,0.7866467
2025-03-16,1,0.41426706
2025-03-23,1,0.5929461
2025-03-30,0,0.28640598
2025-04-06,2,0.2829988
2025-04-13,1,0.34207898
2025-04-20,1,0.23053235
2025-04-27,0,0.26017433
2025-05-04,1,0.29192835
2025-05-11,4,0.18292253
2025-05-18,0,0.8750766
2025-05-25,0,1.1182619
2025-06-01,1,0.8103581
2025-06-08,2,0.7257422
2025-06-15,0,0.6566656
2025-06-22,1,0.5308352
2025-06-29,2,0.29161218
2025-07-06,1,0.438462
2025-07-13,0,0.33371
2025-07-20,1,0.24444087
2025-07-27,1,0.17758131
2025-08-03,0,0.17008758
2025-08-10,0,0.006872933
2025-08-17,0,0.0149999885
2025-08-24,1,0.020643642
2025-08-31,0,0.009955879
2025-09-07,0,-0.009033731
2025-09-14,1,0.000938263
2025-09-21,2,0.00039079192
2025-09-28,1,0.0049727587
2025-10-05,0,0.004368713
2025-10-12,0,-0.0020330842
2025-10-19,1,-0.004203547
2025-10-26,1,0.0035622013
2025-11-02,0,0.0016564189
2025-11-09,0,0.0030298443
2025-11-16,1,0.010270702
2025-11-23,1,0.0033485
2025-11-30,0,-0.007544813
2025-12-07,0,-0.0059512537
2025-12-14,0,0.00723292
2025-12-21,0,0.007941705
2025-12-28,0,0.01185347
2026-01-04,0,0.007232085
2026-01-11,0,-0.0026519205
2026-01-18,1,0.0032525626
2026-01-25,0,-0.0033052955
2026-02-01,0,0.014795928
2026-02-08,0,0.01595191
2026-02-15,0,0.002825517
2026-02-22,0,0.0006860227
2026-03-01,1,-0.0025004696
2026-03-08,0,0.014371356
2026-03-15,1,0.06920084
2026-03-22,2,0.041384667
2026-03-29,0,0.03502269
2026-04-05,4,0.033602607
2026-04-12,2,0.029734865
2026-04-19,4,2.5327432
2026-04-26,3,2.8703604
2026-05-03,2,1.9580455
2026-05-10,6,1.7399712
2026-05-17,6,1.4900626
2026-05-24,3,1.2720393
2026-05-31,1,5.858958
2026-06-07,1,6.022805
2026-06-14,1,4.104093
2026-06-21,0,3.706183
2026-06-28,0,3.0093045
2026-07-05,1,2.5896637
2026-07-12,2,0.26337683
2026-07-19,0,0.3442282
2026-07-26,0,0.27755165
2026-08-02,0,0.19089216
2026-08-09,0,0.11817306
2026-08-16,0,0.0929342
