data_iniSE,casos,umidmed,tempmed
2010-01-03,0,82.9896285714286,27.4443221428571
2010-01-10,0,82.6385277142857,27.5036442857143
2010-01-17,0,80.6232414285714,27.6983225714286
2010-01-24,0,76.2218385714286,28.1480111428571
2010-01-31,0,74.6974371428571,28.6552418571429
2010-02-07,0,76.4776914285714,28.252259
2010-02-14,0,76.6888528571429,28.7869317142857
2010-02-21,0,78.2142857142857,28.5803571428571
2010-02-28,0,82.1489828571429,28.5495342857143
2010-03-07,1,85.0153428571429,28.1269011428571
2010-03-14,4,78.1520071428571,28.3862331428571
2010-03-21,5,73.8206577142857,27.6523888571429
2010-03-28,2,76.47238,27.7926632857143
2010-04-04,6,79.6457062857143,26.8181951428571
2010-04-11,1,80.1497615714286,26.4815602857143
2010-04-18,1,74.0369211428571,27.4263674285714
2010-04-25,3,69.802612,27.8208908571429
2010-05-02,1,74.319882,26.6711311428571
2010-05-09,0,76.7685037142857,27.1766958571429
2010-05-16,3,71.2915522857143,26.8583278571429
2010-05-23,2,73.7633294285714,26.9411987142857
2010-05-30,1,70.0090622857143,26.6672045714286
2010-06-06,4,67.1333145714286,26.6649385714286
2010-06-13,5,67.9911114285714,25.295402
2010-06-20,2,72.08104,25.5880735714286
2010-06-27,1,79.2217112857143,24.334203
2010-07-04,0,77.2467894285714,24.3370345714286
2010-07-11,1,79.4989284285714,24.3316555714286
2010-07-18,2,71.7502194285714,23.8978565714286
2010-07-25,2,70.802481,24.2801058571429
2010-08-01,2,74.9504317142857,23.5003705714286
2010-08-08,1,69.341326,24.0658691428571
2010-08-15,0,77.7682985714286,22.6484595714286
2010-08-22,0,73.72721,24.1437372857143
2010-08-29,0,70.6490044285714,24.830765
2010-09-05,0,74.8756071428571,24.320734
2010-09-12,2,71.5257068571429,24.7203725714286
2010-09-19,1,74.2448622857143,24.9679641428571
2010-09-26,1,77.3684657142857,25.4406641428571
2010-10-03,1,78.5828737142857,26.0741882857143
2010-10-10,1,72.3568551428571,26.5848214285714
2010-10-17,1,74.1022677142857,26.0634667142857
2010-10-24,0,78.836186,26.7756084285714
2010-10-31,0,74.47508,26.7244058571429
2010-11-07,1,72.2236608571429,26.8444502857143
2010-11-14,1,71.74064,26.829637
2010-11-21,0,75.2410714285714,26.8303571428571
2010-11-28,0,76.2821334285714,26.5604192857143
2010-12-05,0,79.53447,26.190989
2010-12-12,0,74.2603416666667,27.0909496666667
2010-12-19,0,74.2364457142857,26.8438601428571
2010-12-26,1,74.4355894285714,27.1407162857143
2011-01-02,1,74.3881478571429,27.006116
2011-01-09,0,76.7638307142857,26.4529775714286
2011-01-16,0,74.93685,26.5201568571429
2011-01-23,0,70.9838297142857,27.2799261428571
2011-01-30,0,67.2772434285714,27.9533538571429
2011-02-06,0,66.586862,28.109823
2011-02-13,2,68.9476028571429,27.7380518571429
2011-02-20,1,71.2403388571429,27.8870291428571
2011-02-27,0,69.6121171428571,28.047235
2011-03-06,1,72.74911,28.1833534285714
2011-03-13,0,76.5810821428571,27.4209222857143
2011-03-20,2,80.1174711428571,26.7571614285714
2011-03-27,5,77.32958,27.2910387142857
2011-04-03,0,74.34724,27.2765422857143
2011-04-10,3,70.3986537142857,27.59174
2011-04-17,0,72.1186654285714,27.136115
2011-04-24,2,73.3522785714286,26.2552215714286
2011-05-01,3,73.9870557142857,26.5022434285714
2011-05-08,2,71.9541285714286,25.8847048571429
2011-05-15,4,73.3405071428571,25.5707671428571
2011-05-22,0,68.1444031428571,25.8878842857143
2011-05-29,0,70.1601792857143,25.8441184285714
2011-06-05,4,71.4573565714286,24.7640141428571
2011-06-12,3,77.9919855714286,24.5473421428571
2011-06-19,2,68.9689477142857,25.3165468571429
2011-06-26,3,73.5252091428572,25.1486121428571
2011-07-03,1,70.6090648571429,24.5563998571429
2011-07-10,0,60.7821144285714,25.4254034285714
2011-07-17,1,65.7562588571429,24.5670645714286
2011-07-24,1,68.9471865714286,24.4349585714286
2011-07-31,1,72.6265342857143,24.7848544285714
2011-08-07,0,67.8706208571429,24.7441915714286
2011-08-14,0,65.7703051428571,24.7083814285714
2011-08-21,1,69.6916854285714,24.7758672857143
2011-08-28,2,64.9419165714286,25.0851671428571
2011-09-04,0,61.8824212857143,24.7120871428571
2011-09-11,0,64.3412585714286,25.3430964285714
2011-09-18,0,64.9687558571429,23.8151627142857
2011-09-25,1,71.3115702857143,25.1079371428571
2011-10-02,0,68.5499325714286,25.9938841428571
2011-10-09,0,70.457076,25.8498508571429
2011-10-16,0,79.3792137142857,24.7300664285714
2011-10-23,0,77.0972978571429,23.6014538571429
2011-10-30,1,73.1060428571429,25.4717922857143
2011-11-06,0,76.1937174285714,25.4924977142857
2011-11-13,1,75.3290614285714,28.5961982857143
2011-11-20,0,73.1909565714286,29.5789172857143
2011-11-27,0,70.6756914285714,27.24856
2011-12-04,0,70.7993865714286,27.1539458571429
2011-12-11,0,77.4944671428571,27.0845448571429
2011-12-18,0,74.4182948571429,27.6196627142857
2011-12-25,1,75.825512,28.68677775
2012-01-01,0,75.8504391428571,29.1532257142857
2012-01-08,0,75.6017008571429,29.7701611428571
2012-01-15,0,69.0152465714286,27.7842742857143
2012-01-22,1,68.617048,28.0945477142857
2012-01-29,0,75.5784074285714,27.0288272857143
2012-02-05,3,70.3258928571429,28.2455357142857
2012-02-12,1,72.128128,28.0608112857143
2012-02-19,1,72.159244,27.6467057142857
2012-02-26,3,70.76208,28.5945377142857
2012-03-04,6,71.8817728571429,28.5475028571429
2012-03-11,5,69.7029891428571,28.2892005714286
2012-03-18,9,68.4575171428571,27.0364344285714
2012-03-25,6,65.1935477142857,27.8620392857143
2012-04-01,4,64.3819128571429,28.080789
2012-04-08,13,65.508434,27.8142038571429
2012-04-15,8,68.9470051428571,27.6093028571429
2012-04-22,16,65.8886805714286,27.4007775714286
2012-04-29,12,65.079658,27.3579227142857
2012-05-06,21,71.8566977142857,26.6467644285714
2012-05-13,12,72.9520994285714,26.5822277142857
2012-05-20,5,77.251397,25.8709117142857
2012-05-27,6,74.5920885714286,26.6267854285714
2012-06-03,9,69.7081398571429,26.7043817142857
2012-06-10,5,69.3864941428571,26.2722784285714
2012-06-17,4,74.4183642857143,25.9808297142857
2012-06-24,7,67.5024791428571,26.127117
2012-07-01,3,67.5974652857143,25.8196
2012-07-08,8,75.9016278571429,25.1890757142857
2012-07-15,6,65.9655148571429,26.1489137142857
2012-07-22,8,62.0779762857143,25.8401785714286
2012-07-29,9,64.0884847142857,25.9324427142857
2012-08-05,1,65.2640462857143,25.6384021428571
2012-08-12,3,69.31929,25.2361
2012-08-19,2,66.0724242857143,24.9765271428571
